"년월","시군구","인원"
"2023-04","인천시 남동구","78"
"2023-04","인천시 동구","890"
"2023-04","인천시 미추홀구","1059"
"2023-04","인천시 부평구","962"
"2023-04","인천시 서구","8"
"2023-04","인천시 연수구","181"
"2023-04","인천시 옹진군","12"
"2023-04","전남 강진군","101"
"2023-04","전남 고흥군","144"
"2023-04","전남 곡성군","42"
"2023-04","전남 광양시","173"
"2023-04","전남 구례군","74"
"2023-04","전남 나주시","253"
"2023-04","전남 담양군","66"
"2023-04","전남 목포시","750"
"2023-04","전남 무안군","221"
"2023-04","전남 보성군","61"
"2023-04","전남 순천시","947"
"2023-04","전남 신안군","28"
"2023-04","전남 여수시","545"
"2023-04","전남 영광군","148"
"2023-04","전남 영암군","67"
"2023-04","전남 완도군","77"
"2023-04","전남 장성군","38"
"2023-04","전남 장흥군","102"
"2023-04","전남 진도군","54"
"2023-04","전남 함평군","29"
"2023-04","전남 해남군","311"
"2023-04","전남 화순군","105"
"2023-04","전북 고창군","114"
"2023-04","전북 군산시","711"
"2023-04","전북 김제시","143"
"2023-04","전북 남원시","192"
"2023-04","전북 무주군","31"
"2023-04","전북 부안군","81"
"2023-04","전북 순창군","31"
"2023-04","전북 완주군","86"
"2023-04","전북 익산시","597"
"2023-04","전북 임실군","21"
"2023-04","전북 장수군","31"
"2023-04","전북 전주시","1924"
"2023-04","전북 정읍시","201"
"2023-04","전북 진안군","64"
"2023-04","제주도 서귀포시","247"
"2023-04","제주도 제주시","883"
"2023-04","충남 계룡시","46"
"2023-04","충남 공주시","26"
"2023-04","충남 금산군","90"
"2023-04","충남 논산시","338"
"2023-04","충남 당진시","144"
"2023-04","충남 보령시","133"
"2023-04","충남 부여군","60"
"2023-04","충남 서산시","294"
"2023-04","충남 서천군","108"
"2023-04","충남 아산시","371"
"2023-04","충남 예산군","87"
"2023-04","충남 천안시","580"
"2023-04","충남 청양군","3"
"2023-04","충남 태안군","41"
"2023-04","충남 홍성군","287"
"2023-04","충북 괴산군","70"
"2023-04","충북 보은군","57"
"2023-04","충북 영동군","40"
"2023-04","충북 옥천군","110"
"2023-04","충북 음성군","55"
"2023-04","충북 제천시","363"
"2023-04","충북 증평군","35"
"2023-04","충북 진천군","71"
"2023-04","충북 청주시","972"
"2023-04","충북 충주시","375"
"2023-05","강원도 강릉시","1073"
"2023-05","강원도 고성군","19"
"2023-05","강원도 동해시","326"
"2023-05","강원도 삼척시","155"
"2023-05","강원도 속초시","251"
"2023-05","강원도 양구군","37"
"2023-05","강원도 양양군","78"
"2023-05","강원도 영월군","106"
"2023-05","강원도 원주시","1571"
"2023-05","강원도 인제군","85"
"2023-05","강원도 정선군","41"
"2023-05","강원도 철원군","153"
"2023-05","강원도 춘천시","1493"
"2023-05","강원도 태백시","105"
"2023-05","강원도 평창군","16"
"2023-05","강원도 홍천군","181"
"2023-05","강원도 화천군","19"
"2023-05","강원도 횡성군","110"
"2023-05","경기도 가평군","68"
"2023-05","경기도 고양시","3206"
"2023-05","경기도 과천시","40"
"2023-05","경기도 광명시","1614"
"2023-05","경기도 광주시","162"
"2023-05","경기도 구리시","267"
"2023-05","경기도 군포시","402"
"2023-05","경기도 김포시","652"
"2023-05","경기도 남양주시","442"
"2023-05","경기도 동두천시","273"
"2023-05","경기도 부천시","747"
"2023-05","경기도 성남시","625"
"2023-05","경기도 수원시","1902"
"2023-05","경기도 시흥시","395"
"2023-05","경기도 안산시","403"
"2023-05","경기도 안성시","163"
"2023-05","경기도 안양시","1237"
"2023-05","경기도 양주시","198"
"2023-05","경기도 양평군","154"
"2023-05","경기도 여주시","170"
"2023-05","경기도 연천군","127"
"2023-05","경기도 오산시","166"
"2023-05","경기도 용인시","781"
"2023-05","경기도 의왕시","111"
"2023-05","경기도 의정부시","815"
"2023-05","경기도 이천시","99"
"2023-05","경기도 파주시","390"
"2023-05","경기도 평택시","437"
"2023-05","경기도 포천시","202"
"2023-05","경기도 하남시","265"
"2023-05","경기도 화성시","203"
"2023-05","경남 거제시","267"
"2023-05","경남 거창군","125"
"2023-05","경남 고성군","113"
"2023-05","경남 김해시","699"
"2023-05","경남 남해군","74"
"2023-05","경남 밀양시","202"
"2023-05","경남 사천시","14"
"2023-05","경남 산청군","28"
"2023-05","경남 양산시","400"
"2023-05","경남 의령군","62"
"2023-05","경남 진주시","795"
"2023-05","경남 창녕군","82"
"2023-05","경남 창원시","2589"
"2023-05","경남 통영시","211"
"2023-05","경남 하동군","86"
"2023-05","경남 함안군","112"
